Region,Country Code,Country Name,Agricultural land (% of land area),Agricultural land (sq. km),Armed forces personnel (% of total labor force),"Armed forces personnel, total",Average precipitation in depth (mm per year),"Birth rate, crude (per 1,000 people)","Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)",Forest area (% of land area),Forest area (sq. km),GDP (current US$),GDP per capita (current US$),"GDP per capita, PPP (current international $)","International tourism, receipts (% of total exports)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Mobile cellular subscriptions (per 100 people),Number of deaths ages 20-24 years,Population in largest city,Population in the largest city (% of urban population),"Population, total"
South Asia,MDV,Maldives,21,64,,,"1,972",16,,9,933,"1,759",3,8,"4,754,175,869","10,063","18,974",83,80,,191,17,,,"472,442"
South Asia,NPL,Nepal,29,"41,210",1,"112,000","1,500",21,,5,49,165,42,"59,620","28,971,589,213","1,028","3,496",29,69,,128,"3,322","1,277,463",23,"28,183,426"
South Asia,PAK,Pakistan,48,"370,030",1,"936,000",494,29,,3,43,136,5,"38,499","339,205,615,769","1,568","4,892",3,66,59,67,"25,411","15,020,931",19,"216,379,655"
Sub-Saharan Africa,AGO,Angola,45,"563,974",1,"117,000","1,010",41,,3,113,201,55,"682,726","68,972,769,396","2,283","7,216",2,62,,44,"10,248","7,515,345",38,"30,208,628"
Sub-Saharan Africa,BDI,Burundi,79,"20,330",1,"31,000","1,274",38,,7,21,55,11,"2,796","2,712,324,134",243,751,,62,68,53,"1,684","846,627",60,"11,155,593"
Sub-Saharan Africa,BEN,Benin,35,"39,500",0,"12,000","1,039",39,,3,29,76,29,"32,852","12,701,655,846","1,095","2,934",5,60,,76,"2,408","867,158",16,"11,596,779"
Sub-Saharan Africa,BFA,Burkina Faso,44,"121,430",0,"11,000",748,38,,6,43,120,23,"63,664","14,106,956,830",711,"1,978",5,60,,90,"3,992","2,415,851",42,"19,835,858"
Sub-Saharan Africa,BWA,Botswana,46,"258,616",1,"9,000",416,26,,7,445,972,28,"156,096","16,105,182,316","6,705","14,657",8,67,,135,308,,,"2,401,840"
Sub-Saharan Africa,CAF,Central African Republic,8,"50,800",0,"8,000","1,343",42,,7,28,56,36,"223,930","2,072,349,794",415,840,,54,,24,"2,644","832,920",41,"4,996,741"
Sub-Saharan Africa,CIV,Cote d'Ivoire,67,"212,000",0,"27,000","1,348",36,94,3,69,157,10,"31,754","51,588,158,718","2,076","4,751",4,58,,128,"7,580","4,787,992",38,"24,848,016"
Sub-Saharan Africa,CMR,Cameroon,21,"97,500",0,"24,000","1,604",37,,3,50,125,43,"205,085","36,098,550,142","1,480","3,691",8,61,,83,"8,234","3,458,972",25,"24,393,181"
Sub-Saharan Africa,COD,"Congo, Dem. Rep.",15,"332,760",0,"134,000","1,543",43,,4,19,43,57,"1,294,594","38,019,265,626",451,"1,024",0,59,,42,"30,340","12,624,344",34,"84,283,273"
Sub-Saharan Africa,COG,"Congo, Rep.",31,"106,280",1,"12,000","1,646",33,,3,53,103,64,"219,910","11,094,822,713","2,089","4,074",,64,,95,"1,007","2,135,075",60,"5,312,340"
Sub-Saharan Africa,COM,Comoros,70,"1,310",,,900,31,,5,75,171,18,342,"1,077,439,663","1,415","3,240",47,64,,62,66,,,"761,664"
Sub-Saharan Africa,CPV,Cabo Verde,20,790,0,"1,000",228,19,,5,165,333,11,448,"1,769,787,215","3,133","6,320",57,77,,108,50,,,"564,954"
Sub-Saharan Africa,ERI,Eritrea,63,"75,920",13,"202,000",384,29,,4,21,58,9,"10,647",,,,,67,,20,858,"863,863",64,"3,396,933"
Sub-Saharan Africa,ETH,Ethiopia,33,"375,401",0,"138,000",848,33,,3,25,69,15,"172,875","81,770,791,971",756,"1,988",38,65,52,37,"19,301","4,215,965",19,"108,197,950"
Sub-Saharan Africa,GAB,Gabon,9,"22,008",1,"7,000","1,831",30,,3,194,403,91,"235,662","14,929,488,771","6,976","14,478",,66,,124,328,"790,784",42,"2,140,215"
Sub-Saharan Africa,GHA,Ghana,55,"126,180",0,"16,000","1,187",29,,3,66,162,35,"79,640","60,406,382,899","1,999","4,930",4,64,,122,"4,127","2,907,222",17,"30,222,262"
Sub-Saharan Africa,GIN,Guinea,59,"145,000",0,"13,000","1,651",37,88,4,33,93,26,"63,090","10,324,668,267",843,"2,384",0,59,,96,"4,647","1,798,985",41,"12,240,789"
Sub-Saharan Africa,GMB,"Gambia, The",60,"6,050",0,"1,000",836,36,,3,21,65,26,"2,599","1,504,909,753",632,"1,927",46,63,,125,484,"431,446",30,"2,381,182"
Sub-Saharan Africa,GNB,Guinea-Bissau,29,"8,067",1,"4,000","1,577",33,,7,55,143,71,"20,053","1,350,177,128",718,"1,872",4,60,,76,500,"537,014",67,"1,879,826"
Sub-Saharan Africa,GNQ,Equatorial Guinea,7,"1,914",0,"1,000","2,156",34,,3,249,581,88,"24,735","12,200,912,828","8,410","19,618",,61,,39,372,"353,480",34,"1,450,694"
Sub-Saharan Africa,KEN,Kenya,49,"276,300",0,"29,000",630,30,,4,67,172,6,"35,815","82,035,800,868","1,676","4,313",15,62,,87,"9,378","4,222,389",32,"48,948,137"
Sub-Saharan Africa,LBR,Liberia,20,"19,238",0,"2,000","2,391",33,,10,69,149,80,"77,082","3,390,703,400",707,"1,533",,61,48,55,"1,321","1,366,976",56,"4,796,631"
Sub-Saharan Africa,LSO,Lesotho,80,"24,180",0,"2,000",788,28,,10,108,261,1,345,"2,306,741,845","1,063","2,572",,53,,110,804,,,"2,170,617"
Sub-Saharan Africa,MDG,Madagascar,70,"408,950",0,"22,000","1,513",32,,5,24,75,21,"124,695","13,176,313,594",503,"1,548",20,65,,33,"6,253","2,903,952",30,"26,169,542"
Sub-Saharan Africa,MLI,Mali,34,"412,010",0,"18,000",282,43,97,4,29,79,11,"132,960","15,365,711,725",796,"2,154",6,59,,114,"4,029","2,368,347",30,"19,311,355"
Sub-Saharan Africa,MOZ,Mozambique,52,"412,314",0,"11,000","1,032",38,,8,36,101,48,"374,066","13,219,084,261",463,"1,287",3,60,61,42,"11,749","1,604,256",16,"28,569,441"
